date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:47:29	35/35	---M--	200	added ('OK')	text/plain	etag:%22218b01-23-40831b4d%22	www.regular-expressions.info/robots.txt		(from )
13:47:43	8603/-1	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Nov%202005%2011:47:27%20GMT	www.regular-expressions.info/	C:/Documents%20and%20Settings/Administrator/Desktop/LockWood/RegEx/www.regular-expressions.info/index.html	(from )
13:47:43	8401/8401	---M--	200	added ('OK')	text/css	etag:%22218b26-20d1-41f4832a%22	www.regular-expressions.info/regex.css	C:/Documents%20and%20Settings/Administrator/Desktop/LockWood/RegEx/www.regular-expressions.info/regex.css	(from www.regular-expressions.info/)
13:47:43	24634/24634	---M--	200	added ('OK')	image/gif	etag:%22218b07-603a-40a5f1cb%22	www.regular-expressions.info/img/logo.gif	C:/Documents%20and%20Settings/Administrator/Desktop/LockWood/RegEx/www.regular-expressions.info/img/logo.gif	(from www.regular-expressions.info/)
13:47:43	2070/2070	---M--	200	added ('OK')	image/gif	etag:%22218b06-816-40a5f1c5%22	www.regular-expressions.info/img/rxb48.gif	C:/Documents%20and%20Settings/Administrator/Desktop/LockWood/RegEx/www.regular-expressions.info/img/rxb48.gif	(from www.regular-expressions.info/)
13:47:44	1000/1000	---M--	200	added ('OK')	image/gif	etag:%22218bfe-3e8-41510a14%22	www.regular-expressions.info/img/rxb.gif	C:/Documents%20and%20Settings/Administrator/Desktop/LockWood/RegEx/www.regular-expressions.info/img/rxb.gif	(from www.regular-expressions.info/)
13:47:47	3071/-1	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Nov%202005%2011:47:43%20GMT	www.regular-expressions.info/regexbuddy/filemask.html	C:/Documents%20and%20Settings/Administrator/Desktop/LockWood/RegEx/www.regular-expressions.info/regexbuddy/filemask.html	(from www.regular-expressions.info/)
13:47:47	5478/-1	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Nov%202005%2011:47:43%20GMT	www.regular-expressions.info/regexbuddy/email.html	C:/Documents%20and%20Settings/Administrator/Desktop/LockWood/RegEx/www.regular-expressions.info/regexbuddy/email.html	(from www.regular-expressions.info/)
13:47:49	7740/-1	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Nov%202005%2011:47:43%20GMT	www.regular-expressions.info/powergrep.html	C:/Documents%20and%20Settings/Administrator/Desktop/LockWood/RegEx/www.regular-expressions.info/powergrep.html	(from www.regular-expressions.info/)
13:47:49	4103/-1	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Nov%202005%2011:47:43%20GMT	www.regular-expressions.info/books.html	C:/Documents%20and%20Settings/Administrator/Desktop/LockWood/RegEx/www.regular-expressions.info/books.html	(from www.regular-expressions.info/)
13:47:52	11124/-1	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Nov%202005%2011:47:42%20GMT	www.regular-expressions.info/examples.html	C:/Documents%20and%20Settings/Administrator/Desktop/LockWood/RegEx/www.regular-expressions.info/examples.html	(from www.regular-expressions.info/)
13:47:57	6592/-1	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Nov%202005%2011:47:49%20GMT	www.regular-expressions.info/tools.html	C:/Documents%20and%20Settings/Administrator/Desktop/LockWood/RegEx/www.regular-expressions.info/tools.html	(from www.regular-expressions.info/)
